PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=1 ttl=64 time=33.2 ms
64 bytes from 10.0.0.8: icmp_seq=2 ttl=64 time=11.1 ms
64 bytes from 10.0.0.8: icmp_seq=3 ttl=64 time=11.7 ms
64 bytes from 10.0.0.8: icmp_seq=4 ttl=64 time=11.0 ms
64 bytes from 10.0.0.8: icmp_seq=5 ttl=64 time=11.8 ms
64 bytes from 10.0.0.8: icmp_seq=6 ttl=64 time=12.7 ms
64 bytes from 10.0.0.8: icmp_seq=7 ttl=64 time=11.6 ms
64 bytes from 10.0.0.8: icmp_seq=8 ttl=64 time=10.3 ms
64 bytes from 10.0.0.8: icmp_seq=9 ttl=64 time=10.7 ms
64 bytes from 10.0.0.8: icmp_seq=10 ttl=64 time=11.5 ms
64 bytes from 10.0.0.8: icmp_seq=11 ttl=64 time=11.6 ms
64 bytes from 10.0.0.8: icmp_seq=12 ttl=64 time=11.1 ms
64 bytes from 10.0.0.8: icmp_seq=13 ttl=64 time=11.5 ms
